ID,X,Y,datetime,population,X_trans,Y_trans,type
A,699223.87731797,5506300.2760976,2017-01-13T16:00:54Z,1,709223.87731797,5456300.2760976,predator
A,699248.840929846,5506272.842782,2017-01-13T18:01:41Z,1,709248.840929846,5456272.842782,predator
A,699331.713342859,5506375.67435385,2017-01-13T20:01:52Z,1,709331.713342859,5456375.67435385,predator
A,699212.890569131,5506497.04631867,2017-01-13T22:00:41Z,1,709212.890569131,5456497.04631867,predator
A,699202.29985494,5506487.22416592,2017-01-14T00:00:54Z,1,709202.29985494,5456487.22416592,predator
A,699137.800532435,5506736.40933544,2017-01-14T02:01:34Z,1,709137.800532435,5456736.40933544,predator
A,699121.217105833,5506732.18043775,2017-01-14T04:01:05Z,1,709121.217105833,5456732.18043775,predator
A,699127.63876722,5506735.93195327,2017-01-14T06:01:08Z,1,709127.63876722,5456735.93195327,predator
A,698774.653765691,5506643.58813391,2017-01-14T08:00:55Z,1,708774.653765691,5456643.58813391,predator
A,698729.088045744,5506684.70918167,2017-01-14T10:00:48Z,1,708729.088045744,5456684.70918167,predator
A,697804.811979896,5506110.22825386,2017-01-14T12:00:48Z,1,707804.811979896,5456110.22825386,predator
A,696395.119911588,5506464.65581916,2017-01-14T14:00:42Z,1,706395.119911588,5456464.65581916,predator
A,696415.262262767,5506892.49019915,2017-01-14T16:00:24Z,1,706415.262262767,5456892.49019915,predator
A,696414.166037472,5506883.37695114,2017-01-14T18:00:55Z,1,706414.166037472,5456883.37695114,predator
A,695876.836753163,5507165.13754553,2017-01-14T20:00:35Z,1,705876.836753163,5457165.13754553,predator
A,696131.937200883,5507410.74469333,2017-01-14T22:00:48Z,1,706131.937200883,5457410.74469333,predator
A,695999.816955531,5507346.61878298,2017-01-15T00:00:26Z,1,705999.816955531,5457346.61878298,predator
A,695698.21220626,5507662.61851077,2017-01-15T02:00:54Z,1,705698.21220626,5457662.61851077,predator
A,695713.437181383,5507625.50891983,2017-01-15T04:00:54Z,1,705713.437181383,5457625.50891983,predator
A,695667.172355572,5507708.00973887,2017-01-15T06:00:41Z,1,705667.172355572,5457708.00973887,predator
A,695840.142113313,5508138.57405854,2017-01-15T08:00:54Z,1,705840.142113313,5458138.57405854,predator
A,695792.433544169,5508147.87104987,2017-01-15T10:00:43Z,1,705792.433544169,5458147.87104987,predator
A,695853.944009406,5508218.72804752,2017-01-15T12:00:54Z,1,705853.944009406,5458218.72804752,predator
A,695470.882945755,5508134.74065501,2017-01-15T14:00:48Z,1,705470.882945755,5458134.74065501,predator
A,695674.585052936,5508052.0268924,2017-01-15T16:00:29Z,1,705674.585052936,5458052.0268924,predator
A,695672.690384045,5508045.59135764,2017-01-15T18:00:55Z,1,705672.690384045,5458045.59135764,predator
A,695538.216672547,5508183.31109079,2017-01-15T20:00:56Z,1,705538.216672547,5458183.31109079,predator
A,695596.395756978,5508334.16649195,2017-01-15T22:00:54Z,1,705596.395756978,5458334.16649195,predator
A,695721.475423298,5508605.36461847,2017-01-16T00:01:24Z,1,705721.475423298,5458605.36461847,predator
A,695723.180097736,5508628.8306061,2017-01-16T02:01:18Z,1,705723.180097736,5458628.8306061,predator
A,695809.592726557,5508645.07302082,2017-01-16T04:00:42Z,1,705809.592726557,5458645.07302082,predator
A,695872.541007643,5508577.43936549,2017-01-16T06:00:46Z,1,705872.541007643,5458577.43936549,predator
A,695757.825018999,5508437.25413273,2017-01-16T08:00:43Z,1,705757.825018999,5458437.25413273,predator
A,696030.700574203,5508503.91235258,2017-01-16T10:00:48Z,1,706030.700574203,5458503.91235258,predator
A,696043.14143738,5508503.10941701,2017-01-16T12:00:54Z,1,706043.14143738,5458503.10941701,predator
A,696249.3380459,5508659.27467154,2017-01-16T14:00:30Z,1,706249.3380459,5458659.27467154,predator
A,696221.518103491,5508624.722734,2017-01-16T16:00:42Z,1,706221.518103491,5458624.722734,predator
A,696156.647578366,5508656.21725479,2017-01-16T18:00:54Z,1,706156.647578366,5458656.21725479,predator
A,696713.906240861,5508519.47554401,2017-01-16T20:00:48Z,1,706713.906240861,5458519.47554401,predator
A,696213.189590022,5508362.90784723,2017-01-16T22:00:31Z,1,706213.189590022,5458362.90784723,predator
A,696191.532018898,5508361.92728743,2017-01-17T00:00:47Z,1,706191.532018898,5458361.92728743,predator
A,696205.151451229,5508362.6659645,2017-01-17T02:00:48Z,1,706205.151451229,5458362.6659645,predator
A,696745.834219256,5508224.73409989,2017-01-17T04:00:48Z,1,706745.834219256,5458224.73409989,predator
A,696951.960017436,5508372.63522324,2017-01-17T06:00:54Z,1,706951.960017436,5458372.63522324,predator
A,696078.950113303,5508217.84049564,2017-01-17T08:00:54Z,1,706078.950113303,5458217.84049564,predator
A,696067.523147254,5508207.06005483,2017-01-17T10:00:42Z,1,706067.523147254,5458207.06005483,predator
A,696744.402635945,5508328.26340382,2017-01-17T12:00:55Z,1,706744.402635945,5458328.26340382,predator
A,696945.465742212,5508013.73450536,2017-01-17T14:01:28Z,1,706945.465742212,5458013.73450536,predator
A,696996.320567821,5507930.89533363,2017-01-17T16:01:22Z,1,706996.320567821,5457930.89533363,predator
A,696993.190489892,5507923.07549504,2017-01-17T18:00:48Z,1,706993.190489892,5457923.07549504,predator
A,697278.945981587,5508382.63671127,2017-01-17T20:01:23Z,1,707278.945981587,5458382.63671127,predator
A,696664.728971097,5508649.84431792,2017-01-17T22:01:30Z,1,706664.728971097,5458649.84431792,predator
A,696167.018193404,5508745.39969314,2017-01-18T00:01:55Z,1,706167.018193404,5458745.39969314,predator
A,695933.447814542,5508734.91977595,2017-01-18T02:00:54Z,1,705933.447814542,5458734.91977595,predator
A,695933.160645429,5508723.84081333,2017-01-18T04:00:41Z,1,705933.160645429,5458723.84081333,predator
A,696740.435800977,5509171.97301373,2017-01-18T06:01:16Z,1,706740.435800977,5459171.97301373,predator
A,696851.599758742,5509244.93667569,2017-01-18T08:00:54Z,1,706851.599758742,5459244.93667569,predator
A,696897.386595621,5509260.99076866,2017-01-18T10:00:38Z,1,706897.386595621,5459260.99076866,predator
A,696834.251749875,5509936.78833616,2017-01-18T12:02:05Z,1,706834.251749875,5459936.78833616,predator
A,697734.850348743,5510814.529755,2017-01-18T14:01:07Z,1,707734.850348743,5460814.529755,predator
A,697836.594244911,5510808.34209177,2017-01-18T16:01:12Z,1,707836.594244911,5460808.34209177,predator
A,698249.397036113,5512019.72636563,2017-01-18T18:00:57Z,1,708249.397036113,5462019.72636563,predator
A,698393.822586378,5511908.4297656,2017-01-18T20:00:53Z,1,708393.822586378,5461908.4297656,predator
A,698498.621255681,5511964.1193138,2017-01-18T22:01:12Z,1,708498.621255681,5461964.1193138,predator
A,698397.175344354,5511780.21116945,2017-01-19T00:00:42Z,1,708397.175344354,5461780.21116945,predator
A,698046.016910247,5511352.3919718,2017-01-19T02:01:23Z,1,708046.016910247,5461352.3919718,predator
A,697843.492709935,5510833.64891552,2017-01-19T04:00:48Z,1,707843.492709935,5460833.64891552,predator
A,697837.237395199,5510832.29131606,2017-01-19T06:00:54Z,1,707837.237395199,5460832.29131606,predator
A,697755.686515271,5510745.99218692,2017-01-19T08:01:24Z,1,707755.686515271,5460745.99218692,predator
A,697754.081122854,5510747.50469834,2017-01-19T10:00:55Z,1,707754.081122854,5460747.50469834,predator
A,697880.913043861,5510578.6695832,2017-01-19T12:01:19Z,1,707880.913043861,5460578.6695832,predator
A,698060.734834076,5510523.15726625,2017-01-19T14:00:54Z,1,708060.734834076,5460523.15726625,predator
A,698085.400712399,5510611.46121302,2017-01-19T16:00:48Z,1,708085.400712399,5460611.46121302,predator
A,698099.421693823,5510607.40952074,2017-01-19T18:01:16Z,1,708099.421693823,5460607.40952074,predator
A,697653.596010322,5510661.95717445,2017-01-19T20:02:22Z,1,707653.596010322,5460661.95717445,predator
A,697739.23153049,5510776.42482906,2017-01-19T22:01:42Z,1,707739.23153049,5460776.42482906,predator
A,697773.541523484,5510764.79617707,2017-01-20T00:01:11Z,1,707773.541523484,5460764.79617707,predator
A,698172.6884806,5510623.91048106,2017-01-20T02:02:12Z,1,708172.6884806,5460623.91048106,predator
A,698578.379488828,5509812.21290066,2017-01-20T04:01:29Z,1,708578.379488828,5459812.21290066,predator
A,698619.433282315,5509806.56094036,2017-01-20T06:00:53Z,1,708619.433282315,5459806.56094036,predator
A,698604.548867594,5509795.57937764,2017-01-20T08:01:13Z,1,708604.548867594,5459795.57937764,predator
A,698655.880902922,5509795.75372009,2017-01-20T10:00:53Z,1,708655.880902922,5459795.75372009,predator
A,698812.756304617,5509667.79649743,2017-01-20T12:00:54Z,1,708812.756304617,5459667.79649743,predator
A,698880.374598319,5509495.14522377,2017-01-20T14:01:44Z,1,708880.374598319,5459495.14522377,predator
A,698895.355557909,5509486.13523937,2017-01-20T16:01:17Z,1,708895.355557909,5459486.13523937,predator
