ID,randomID,yday,timegroup,EASTING,NORTHING,group,datetime
A,A,45,675,651161.511609877,5299599.72074631,675_3,2012-02-14T14:30:39Z
A,A,45,675,651126.906775866,5299467.4885568,675_3,2012-02-14T15:30:41Z
A,A,45,676,651044.744976147,5299952.98077485,676_2,2012-02-14T16:30:04Z
A,A,45,676,651322.448394437,5300076.51408708,676_1,2012-02-14T17:30:42Z
A,A,45,677,651236.357930687,5300018.18404939,677_1,2012-02-14T18:30:16Z
A,A,45,677,651178.059942077,5300226.41731981,677_2,2012-02-14T19:30:25Z
A,A,45,678,651173.043100549,5300233.52492267,678_1,2012-02-14T20:30:10Z
A,A,45,678,651174.356344579,5300239.77044642,678_1,2012-02-14T21:30:41Z
A,A,45,679,651117.941879634,5300206.05750755,679_2,2012-02-14T22:30:11Z
A,A,45,679,651388.609098899,5300166.65185903,679_1,2012-02-14T23:30:16Z
A,A,45,680,651203.2834228,5300090.18950823,680_1,2012-02-15T00:30:41Z
A,A,45,680,651221.421193018,5300044.52093101,680_1,2012-02-15T01:30:10Z
A,A,45,681,651319.036175431,5299925.96162148,681_1,2012-02-15T02:30:27Z
A,A,48,151,652813.048061406,5303740.91772387,151_3,2010-02-17T08:30:41Z
A,A,48,152,652831.409731179,5303740.71519513,152_3,2010-02-17T13:31:31Z
A,A,48,154,653407.838169593,5303846.89411264,154_3,2010-02-17T23:30:44Z
A,A,48,310,664189.634555197,5326994.78471558,310_3,2011-02-17T08:30:50Z
A,A,48,312,664237.605969411,5326225.78522789,312_3,2011-02-17T18:31:17Z
A,A,48,709,650325.906602896,5300591.22369981,709_1,2012-02-17T04:30:09Z
A,A,48,709,650162.094633458,5300674.52827874,709_1,2012-02-17T05:30:41Z
A,A,48,710,650045.457260371,5300825.44678139,710_1,2012-02-17T06:30:16Z
A,A,48,710,649755.507832535,5300719.33604219,710_2,2012-02-17T07:30:21Z
A,A,48,711,649754.138300767,5300718.44757634,711_1,2012-02-17T08:30:15Z
A,A,48,711,649756.865280303,5300730.25651485,711_1,2012-02-17T09:30:53Z
A,A,48,712,649752.927368265,5300727.24522487,712_1,2012-02-17T10:30:13Z
A,A,48,712,649752.738583276,5300728.26124862,712_1,2012-02-17T11:30:13Z
A,A,48,713,649791.927650259,5300679.51536624,713_1,2012-02-17T12:30:23Z
A,A,48,713,649629.839488833,5300759.65187547,713_1,2012-02-17T13:30:54Z
A,A,48,714,649803.083640189,5300793.60977273,714_4,2012-02-17T14:30:11Z
A,A,48,715,650107.1790511,5301803.54884526,715_1,2012-02-17T16:30:10Z
